job_id	out_idx	verdict	cone_size	required_siblings	detail
w15:669	0	OPERATOR	2		diverges alone (cone 2)
w15:670	3	OPERATOR	5		diverges alone (cone 5)
w15:673	0	OPERATOR	6		diverges alone (cone 6)
w15:679	1	OPERATOR	4		diverges alone (cone 4)
w15:694	1	NOREPRO	3		full graph diverges=False
w15:704	3	OPERATOR	6		diverges alone (cone 6)
w15:717	1	OPERATOR	3		diverges alone (cone 3)
w15:731	0	OPERATOR	3		diverges alone (cone 3)
w15:755	0	GRAPHOPT	8	n8	needs siblings ['n8']
w15:767	0	OPERATOR	10		diverges alone (cone 10)
w15:770	0	OPERATOR	5		diverges alone (cone 5)
w15:8	3	OPERATOR	5		diverges alone (cone 5)
w16:110	1	OPERATOR	10		diverges alone (cone 10)
w16:122	0	OPERATOR	4		diverges alone (cone 4)
w16:131	2	OPERATOR	4		diverges alone (cone 4)
w16:136	0	OPERATOR	9		diverges alone (cone 9)
w16:140	2	OPERATOR	3		diverges alone (cone 3)
w16:159	2	OPERATOR	5		diverges alone (cone 5)
w16:16	0	OPERATOR	2		diverges alone (cone 2)
w16:189	0	OPERATOR	2		diverges alone (cone 2)
w16:207	3	OPERATOR	2		diverges alone (cone 2)
w16:210	2	OPERATOR	4		diverges alone (cone 4)
w16:226	0	GRAPHOPT	6	n7	needs siblings ['n7']
w16:227	4	OPERATOR	4		diverges alone (cone 4)
w16:234	2	OPERATOR	4		diverges alone (cone 4)
w16:237	0	OPERATOR	4		diverges alone (cone 4)
w16:254	0	OPERATOR	2		diverges alone (cone 2)
w16:259	0	OPERATOR	3		diverges alone (cone 3)
w16:264	0	NOREPRO	4		full graph diverges=False
w16:266	1	GRAPHOPT	4	n3	needs siblings ['n3']
w16:267	1	OPERATOR	7		diverges alone (cone 7)
w16:278	3	OPERATOR	5		diverges alone (cone 5)
w16:302	0	OPERATOR	2		diverges alone (cone 2)
w16:304	1	OPERATOR	3		diverges alone (cone 3)
w16:308	1	GRAPHOPT	4	n4	needs siblings ['n4']
w16:309	0	OPERATOR	4		diverges alone (cone 4)
w16:313	3	OPERATOR	4		diverges alone (cone 4)
w16:316	1	OPERATOR	5		diverges alone (cone 5)
w16:318	0	OPERATOR	4		diverges alone (cone 4)
w16:33	3	OPERATOR	4		diverges alone (cone 4)
w16:331	1	OPERATOR	4		diverges alone (cone 4)
w16:34	0	GRAPHOPT	5	n7	needs siblings ['n7']
w16:341	0	OPERATOR	3		diverges alone (cone 3)
w16:347	2	OPERATOR	5		diverges alone (cone 5)
w16:36	2	OPERATOR	3		diverges alone (cone 3)
w16:360	2	OPERATOR	5		diverges alone (cone 5)
w16:364	0	OPERATOR	2		diverges alone (cone 2)
w16:374	2	OPERATOR	5		diverges alone (cone 5)
w16:377	1	OPERATOR	3		diverges alone (cone 3)
w16:384	2	OPERATOR	4		diverges alone (cone 4)
w16:39	2	OPERATOR	3		diverges alone (cone 3)
w16:393	2	OPERATOR	8		diverges alone (cone 8)
w16:402	1	OPERATOR	4		diverges alone (cone 4)
w16:415	3	OPERATOR	3		diverges alone (cone 3)
w16:418	3	NOREPRO	4		full graph diverges=False
w16:423	0	NOREPRO	10		full graph diverges=False
w16:435	0	OPERATOR	2		diverges alone (cone 2)
w16:444	0	OPERATOR	3		diverges alone (cone 3)
